provincia,año,altitud,temp_promedio_anual_C,viento_promedio_anual_ms,potencial_hidrico_proxy_mm,potencia_solar_media_anual_kw,energia_solar_anual_kwh,viabilidad_solar,potencia_eolica_media_anual_w,energia_eolica_anual_kwh,viabilidad_eolica,viabilidad_hidrica
Azuay,2019,2560,13.13082191780822,3.323616438356164,1077.24,1.979582876712329,17341.146,Bajo,68434.33478015212,599484.7726741325,Alto,Medio
Azuay,2020,2560,13.58931693989071,3.1943989071038255,860.99,2.0688551912568305,18172.824,Alto,59889.909196053035,526072.9623781298,Alto,Bajo
Azuay,2021,2560,13.016657534246574,3.1002739726027393,1160.65,1.9911931506849316,17442.852000000003,Bajo,54874.72345930611,480702.57750352146,Alto,Medio
Azuay,2022,2560,13.055561643835617,3.0352328767123287,952.06,1.9258445205479453,16870.398,Bajo,52153.40423480819,456863.82109691977,Medio,Bajo
Azuay,2023,2560,13.49991780821918,3.028821917808219,1072.91,1.998296575342466,17505.078,Bajo,51012.71593202381,446871.3915645286,Medio,Medio
Bolívar,2019,2750,11.156657534246577,3.106219178082192,1565.42,1.999444178082192,17515.131,Medio,79504.82194622213,696462.2402489058,Alto,Alto
Bolívar,2020,2750,11.515437158469943,2.8827868852459013,1211.61,2.0705170765027323,18187.422,Alto,55561.71995747622,488054.1481064711,Alto,Medio
Bolívar,2021,2750,10.933315068493153,2.934082191780822,1782.04,1.9667,17228.292,Bajo,63180.08393104988,553457.5352359969,Alto,Alto
Bolívar,2022,2750,10.83572602739726,2.9805479452054797,1620.55,1.9011109589041095,16653.732,Bajo,62359.23367203468,546266.8869670238,Alto,Alto
Bolívar,2023,2750,11.270246575342467,2.933808219178082,2017.76,2.024064383561644,17730.804,Medio,64418.65064496061,564307.379649855,Alto,Alto
Carchi,2019,2950,13.305780821917809,2.788164383561644,1278.41,1.8383979452054795,16104.366000000002,Bajo,54638.60798762072,478634.20597155753,Medio,Medio
Carchi,2020,2950,13.658770491803278,2.7009562841530053,778.0,2.007054986338798,17629.971,Medio,45790.19602078457,402221.0818465717,Medio,Bajo
Carchi,2021,2950,13.098438356164383,2.556876712328767,1317.94,1.94571198630137,17044.437,Bajo,42031.87978852,368199.2669474352,Medio,Medio
Carchi,2022,2950,12.81917808219178,2.569671232876712,1376.88,2.003328082191781,17549.154000000002,Medio,40886.95971260007,358169.76708237664,Medio,Medio
Carchi,2023,2950,13.34372602739726,2.916630136986301,1374.65,1.9386520547945207,16982.592,Bajo,62464.29572106788,547187.2305165546,Alto,Medio
Cañar,2019,2418,11.862739726027396,3.586958904109589,1286.34,1.9708078767123287,17264.277000000002,Bajo,106612.84034088392,933928.4813861432,Alto,Medio
Cañar,2020,2418,12.165573770491804,3.399316939890711,1035.53,2.061632172131148,18109.377,Medio,86302.88941704543,758084.5806393271,Alto,Medio
Cañar,2021,2418,11.66454794520548,3.3645205479452054,1364.27,2.0384380136986304,17856.717,Medio,86177.18558618822,754912.1457350089,Alto,Medio
Cañar,2022,2418,11.613342465753425,3.346986301369863,1234.21,2.071425,18145.683,Medio,85077.4193407648,745278.1934250997,Alto,Medio
Cañar,2023,2418,12.052465753424656,3.303150684931507,1561.67,1.989354794520548,17426.748,Bajo,83213.07823425879,728946.565332107,Alto,Alto
Chimborazo,2019,3600,11.156657534246577,3.106219178082192,1565.42,1.9846448630136988,17385.489,Bajo,79504.82194622213,696462.2402489058,Alto,Alto
Chimborazo,2020,3600,11.515437158469943,2.8827868852459013,1211.61,2.0832988387978144,18299.697,Alto,55561.71995747622,488054.1481064711,Alto,Medio
Chimborazo,2021,3600,10.933315068493153,2.934082191780822,1782.04,2.004035273972603,17555.349000000002,Medio,63180.08393104988,553457.5352359969,Alto,Alto
Chimborazo,2022,3600,10.83572602739726,2.9805479452054797,1620.55,2.0540469178082192,17993.451,Medio,62359.23367203468,546266.8869670238,Alto,Alto
Chimborazo,2023,3600,11.270246575342467,2.933808219178082,2017.76,2.0014095890410957,17532.348,Medio,64418.65064496061,564307.379649855,Alto,Alto
Cotopaxi,2019,2850,11.591479452054797,2.52013698630137,1435.73,2.071682191780822,18147.936,Alto,45463.57795688674,398260.9429023278,Medio,Medio
Cotopaxi,2020,2850,11.901557377049182,2.3480327868852457,1157.29,2.1406799863387977,18803.733,Alto,30282.364716486125,266000.29166961415,Bajo,Medio
Cotopaxi,2021,2850,11.310794520547944,2.3827397260273973,1748.97,2.030941095890411,17791.044,Medio,34173.529314774045,299360.1167974206,Bajo,Alto
Cotopaxi,2022,2850,11.222164383561644,2.492931506849315,1458.55,2.0419784246575343,17887.731,Medio,37630.299909389265,329641.42720624997,Medio,Medio
Cotopaxi,2023,2850,11.728520547945203,2.4521643835616436,1700.14,2.0467438356164385,17929.476000000002,Medio,39065.51538978572,342213.91481452296,Medio,Alto
El Oro,2019,8,24.262794520547946,2.7855068493150688,529.96,2.062012671232877,18063.231,Medio,32203.694983358055,282104.36805421655,Bajo,Bajo
El Oro,2020,8,23.96409836065574,2.863661202185792,483.3,2.1706219262295083,19066.743,Alto,34152.80589213289,299998.2469564953,Bajo,Bajo
El Oro,2021,8,23.847698630136986,2.768958904109589,509.26,2.0846626712328766,18261.645,Alto,31014.879160852262,271690.34144906583,Bajo,Bajo
El Oro,2022,8,23.524958904109592,2.839808219178082,437.3,2.071845547945206,18149.367,Alto,33339.74624175892,292056.1770778081,Bajo,Bajo
El Oro,2023,8,25.27758904109589,2.9151780821917805,541.72,2.084522260273973,18260.415,Alto,36357.756410844246,318493.9461589956,Medio,Bajo
Esmeraldas,2019,15,26.10619178082192,3.206054794520548,1181.58,1.8930530821917808,16583.145,Bajo,51758.4857401468,453404.335083686,Medio,Medio
Esmeraldas,2020,15,25.93770491803279,3.271994535519126,1063.91,1.9057100409836067,16739.757,Bajo,53558.7876124872,470460.39038808754,Medio,Medio
Esmeraldas,2021,15,25.489561643835614,3.2225479452054797,1455.03,1.879829794520548,16467.309,Bajo,51342.37515552397,449759.2063623899,Medio,Medio
Esmeraldas,2022,15,25.380109589041098,3.2706575342465753,1077.82,1.838138356164384,16102.092,Bajo,53971.3653957523,472789.1608667901,Medio,Medio
Esmeraldas,2023,15,26.575342465753423,3.156191780821918,1357.02,2.017519863013699,17673.474000000002,Medio,51019.90264127132,446934.34713753674,Medio,Medio
Galápagos,2019,0,23.547808219178084,4.388356164383562,286.46,2.985285273972603,26151.099,Alto,135005.3680503053,1182647.0241206745,Alto,Bajo
Galápagos,2020,0,23.182431693989074,4.403852459016393,297.38,2.892631489071038,25408.875,Alto,135300.81264160827,1188482.338243887,Alto,Bajo
Galápagos,2021,0,23.449561643835615,4.585917808219178,328.14,2.880506164383562,25233.234,Alto,159857.01085137157,1400347.415058015,Alto,Bajo
Galápagos,2022,0,22.66304109589041,4.622630136986301,301.08,2.7108102739726028,23746.698,Alto,158307.65828369986,1386775.086565211,Alto,Bajo
Galápagos,2023,0,25.825972602739725,4.302301369863013,313.71,3.0619215753424656,26822.433,Alto,140554.16535323192,1231254.4884943117,Alto,Bajo
Guayas,2019,8,27.63342465753425,3.603753424657534,752.58,1.979582876712329,17341.146,Bajo,72251.67137239811,632924.6412222073,Alto,Bajo
Guayas,2020,8,27.36346994535519,3.691830601092896,646.89,2.0688551912568305,18172.824,Alto,76319.54584288786,670390.890683927,Alto,Bajo
Guayas,2021,8,26.628684931506847,3.5603561643835615,1032.89,1.9911931506849316,17442.852000000003,Bajo,69384.91290556114,607811.8370527156,Alto,Bajo
Guayas,2022,8,26.600027397260273,3.779972602739726,715.51,1.9258445205479453,16870.398,Bajo,81450.77375303197,713508.77807656,Alto,Bajo
Guayas,2023,8,27.77772602739726,3.581342465753425,1251.54,1.998296575342466,17505.078,Bajo,73413.15748645585,643099.2595813533,Alto,Medio
Imbabura,2019,2225,13.197917808219175,2.625397260273973,1225.99,2.0055705479452057,17568.798000000003,Medio,43798.910424110465,383678.45531520766,Medio,Medio
Imbabura,2020,2225,13.409535519125685,2.510928961748634,911.19,2.035115095628415,17876.451,Medio,33056.356557958265,290367.03600510536,Bajo,Bajo
Imbabura,2021,2225,12.917753424657532,2.4838356164383564,1436.06,1.992648287671233,17455.599000000002,Bajo,34638.01737842265,303429.0322349824,Bajo,Medio
Imbabura,2022,2225,12.704328767123288,2.5197260273972604,1340.83,1.9156006849315068,16780.662,Bajo,35168.20907121375,308073.51146383246,Medio,Medio
Imbabura,2023,2225,13.242438356164383,2.6905479452054792,1369.76,2.0201873287671233,17696.841,Medio,48132.67450340475,421642.2286498258,Medio,Medio
Loja,2019,2060,18.125945205479457,2.7607945205479454,694.99,2.2987825342465755,20137.335,Alto,65628.02110851814,574901.4649106188,Alto,Bajo
Loja,2020,2060,18.342595628415303,2.437622950819672,592.41,2.400234289617486,21083.658,Alto,35722.313652355806,313784.8031222934,Medio,Bajo
Loja,2021,2060,17.71539726027397,2.367616438356164,855.7,2.332975684931507,20436.867,Alto,38987.03610438046,341526.4362743728,Medio,Bajo
Loja,2022,2060,17.60904109589041,2.398931506849315,685.08,2.3613818493150687,20685.705,Alto,35993.33097848326,315301.5793715134,Medio,Bajo
Loja,2023,2060,18.69468493150685,2.521835616438356,595.13,2.2857756849315067,20023.395,Alto,43495.24647879256,381018.3591542229,Medio,Bajo
Los Ríos,2019,30,23.5093698630137,2.913835616438356,1009.67,1.999444178082192,17515.131,Medio,37025.571998305386,324344.01070515515,Medio,Bajo
Los Ríos,2020,30,23.3703825136612,3.002049180327869,844.4300000000001,2.0705170765027323,18187.422,Alto,39023.04404297644,342778.418873505,Medio,Bajo
Los Ríos,2021,30,22.712273972602738,2.8814246575342466,1258.28,1.9667,17228.292,Bajo,35240.486826596934,308706.66460098914,Medio,Medio
Los Ríos,2022,30,22.662383561643836,3.0434246575342465,913.54,1.9011109589041095,16653.732,Bajo,40931.106916796394,358556.49659113644,Medio,Bajo
Los Ríos,2023,30,23.642821917808217,2.8122465753424657,1326.17,2.024064383561644,17730.804,Medio,34365.42243903655,301041.10056596017,Bajo,Medio
Manabí,2019,20,25.05487671232877,4.069150684931507,599.02,2.0502099315068496,17959.839,Medio,105597.45299286896,925033.688217532,Alto,Bajo
Manabí,2020,20,24.8079781420765,4.198934426229508,438.32,2.130116803278689,18710.946,Alto,113437.81049522114,996437.7273900226,Alto,Bajo
Manabí,2021,20,24.270849315068496,4.225671232876712,995.66,1.9795934931506851,17341.239,Bajo,119330.0877187247,1045331.5684160284,Alto,Bajo
Manabí,2022,20,24.124931506849315,4.4355890410958905,525.36,1.9301260273972605,16907.904000000002,Bajo,131715.83226159526,1153830.6906115746,Alto,Bajo
Manabí,2023,20,25.916136986301368,4.276767123287671,939.63,2.063682876712329,18077.862,Medio,127085.8045127635,1113271.647531808,Alto,Bajo
Morona Santiago,2019,1050,18.813205479452055,1.4305205479452054,2034.8,1.9708078767123287,17264.277000000002,Bajo,4318.812591142534,37832.7982984086,Bajo,Alto
Morona Santiago,2020,1050,19.38327868852459,1.4363387978142077,1479.43,2.061632172131148,18109.377,Medio,4353.441170370663,38240.627240535905,Bajo,Medio
Morona Santiago,2021,1050,18.790958904109587,1.4452328767123288,2061.6,2.0384380136986304,17856.717,Medio,4348.862263195541,38096.03342559294,Bajo,Alto
Morona Santiago,2022,1050,18.654986301369863,1.4485205479452057,2117.39,2.071425,18145.683,Medio,4413.486274991636,38662.13976892673,Bajo,Alto
Morona Santiago,2023,1050,19.01638356164384,1.4405479452054792,2603.02,1.989354794520548,17426.748,Bajo,4338.5470310417995,38005.67199192617,Bajo,Alto
Napo,2019,500,12.824931506849316,2.854958904109589,2348.67,1.8520455479452056,16223.919000000002,Bajo,35463.25937062867,310658.1520867072,Medio,Alto
Napo,2020,500,13.243497267759562,2.937486338797814,1702.2,1.9995085382513664,17563.683,Medio,41979.31910199174,368746.3389918955,Medio,Alto
Napo,2021,500,12.679890410958905,2.7773424657534247,2450.97,1.952468493150685,17103.624,Bajo,32321.054325476343,283132.4358911728,Bajo,Alto
Napo,2022,500,12.627150684931506,2.721643835616438,2592.04,2.0220688356164387,17713.323,Medio,30848.549051595804,270233.28969197924,Bajo,Alto
Napo,2023,500,13.038109589041095,2.5972054794520547,2974.13,1.9637089041095892,17202.09,Bajo,26463.28460489716,231818.37313889913,Bajo,Alto
Orellana,2019,300,24.45994520547945,0.6607671232876713,2667.3,2.082827397260274,18245.568,Alto,426.52399879458267,3736.350229440544,Bajo,Alto
Orellana,2020,300,25.385464480874315,0.6748907103825136,1516.76,2.2374921448087433,19654.131,Alto,454.46389594680073,3992.0108619966977,Bajo,Alto
Orellana,2021,300,24.355643835616437,0.6625205479452054,2333.7,2.1964616438356166,19241.004,Alto,426.5427780624791,3736.5147358273166,Bajo,Alto
Orellana,2022,300,24.19630136986301,0.6687397260273973,2541.96,2.283991780821918,20007.768,Alto,443.9800531705597,3889.2652657741023,Bajo,Alto
Orellana,2023,300,24.618219178082192,0.6584383561643836,2579.27,2.198092123287671,19255.287,Alto,420.2708351268389,3681.5725157111087,Bajo,Alto
Pastaza,2019,950,16.336301369863012,1.9145753424657537,2659.87,1.9846448630136988,17385.489,Bajo,10586.01753169089,92733.5135776122,Bajo,Alto
Pastaza,2020,950,16.770683060109288,1.9498360655737703,1902.06,2.0832988387978144,18299.697,Alto,11588.006570344352,101789.0497139048,Bajo,Alto
Pastaza,2021,950,16.194301369863012,1.881972602739726,2704.61,2.004035273972603,17555.349000000002,Medio,9921.929262737618,86916.10034158154,Bajo,Alto
Pastaza,2022,950,16.15095890410959,1.8732328767123287,2938.78,2.0540469178082192,17993.451,Medio,9631.88067896914,84375.27474776964,Bajo,Alto
Pastaza,2023,950,16.54487671232877,1.841150684931507,3491.3,2.0014095890410957,17532.348,Medio,9114.509976475296,79843.10739392361,Bajo,Alto
Pichincha,2019,2850,17.87515068493151,2.128027397260274,1238.66,2.071682191780822,18147.936,Alto,15449.217436375253,135335.14474264722,Bajo,Medio
Pichincha,2020,2850,17.801639344262295,2.194562841530055,1149.87,2.1406799863387977,18803.733,Alto,16791.586552123383,147497.2962738518,Bajo,Medio
Pichincha,2021,2850,17.414027397260273,2.183068493150685,1610.91,2.030941095890411,17791.044,Medio,16359.598161473232,143310.0798945055,Bajo,Alto
Pichincha,2022,2850,17.185753424657534,2.290027397260274,1268.38,2.0419784246575343,17887.731,Medio,19085.45563929952,167188.59140026377,Bajo,Medio
Pichincha,2023,2850,18.113616438356164,2.12813698630137,1433.66,2.0467438356164385,17929.476000000002,Medio,15384.43133102566,134767.61845978478,Bajo,Medio
Santa Elena,2019,35,24.800273972602746,4.083917808219178,483.87,2.4439421232876715,21408.933,Alto,103897.67753655906,910143.6552202576,Alto,Bajo
Santa Elena,2020,35,24.49915300546448,4.178524590163934,373.84,2.5965946038251366,22808.487,Alto,110554.4866918672,971110.6111013612,Alto,Bajo
Santa Elena,2021,35,23.99501369863014,4.193506849315069,688.65,2.3964260273972604,20992.692000000003,Alto,114602.78248413,1003920.3745609786,Alto,Bajo
Santa Elena,2022,35,23.763753424657537,4.393287671232876,473.36,2.30393493150685,20182.47,Alto,127651.401668018,1118226.2786118377,Alto,Bajo
Santa Elena,2023,35,25.645917808219178,4.2574794520547945,1087.15,2.550809589041096,22345.092,Alto,123956.55184552808,1085859.3941668258,Alto,Medio
Santo Domingo de los Tsáchilas,2019,625,23.539808219178084,2.9541917808219176,1818.78,1.8873256849315068,16532.973,Bajo,36920.148599690365,323420.5017332876,Medio,Alto
Santo Domingo de los Tsáchilas,2020,625,23.42622950819672,2.9756557377049178,1447.3,1.9303056693989071,16955.805,Bajo,37874.25245724467,332687.4335844372,Medio,Medio
Santo Domingo de los Tsáchilas,2021,625,22.91408219178082,2.908082191780822,2091.47,1.8696931506849317,16378.512,Bajo,35518.84494619392,311145.08172865876,Medio,Alto
Santo Domingo de los Tsáchilas,2022,625,22.886767123287672,3.011835616438356,1490.85,1.7775835616438356,15571.632,Bajo,38975.324095987184,341423.8390808477,Medio,Alto
Santo Domingo de los Tsáchilas,2023,625,23.934191780821916,2.8724383561643836,1898.25,1.9574044520547944,17146.863,Bajo,34602.180325339374,303115.0996499729,Bajo,Alto
Sucumbíos,2019,300,18.13876712328767,1.408164383561644,1663.21,1.8383979452054795,16104.366000000002,Bajo,4091.191633211772,35838.838706935116,Bajo,Alto
Sucumbíos,2020,300,18.707513661202185,1.4566393442622951,1194.02,2.007054986338798,17629.971,Medio,4603.593577678617,40437.96598632897,Bajo,Medio
Sucumbíos,2021,300,17.904794520547945,1.377041095890411,1827.1,1.94571198630137,17044.437,Bajo,3856.866626098969,33786.15164462696,Bajo,Alto
Sucumbíos,2022,300,17.77276712328767,1.3947123287671233,1843.3,2.003328082191781,17549.154000000002,Medio,3987.645600922765,34931.77546408342,Bajo,Alto
Sucumbíos,2023,300,18.217753424657538,1.3816986301369862,1882.09,1.9386520547945207,16982.592,Bajo,3884.48159558696,34028.05877734177,Bajo,Alto
Tungurahua,2019,2650,11.591479452054797,2.52013698630137,1435.73,1.9846448630136988,17385.489,Bajo,45463.57795688674,398260.9429023278,Medio,Medio
Tungurahua,2020,2650,11.901557377049182,2.3480327868852457,1157.29,2.0832988387978144,18299.697,Alto,30282.364716486125,266000.29166961415,Bajo,Medio
Tungurahua,2021,2650,11.310794520547944,2.3827397260273973,1748.97,2.004035273972603,17555.349000000002,Medio,34173.529314774045,299360.1167974206,Bajo,Alto
Tungurahua,2022,2650,11.222164383561644,2.492931506849315,1458.55,2.0540469178082192,17993.451,Medio,37630.299909389265,329641.42720624997,Medio,Medio
Tungurahua,2023,2650,11.728520547945203,2.4521643835616436,1700.14,2.0014095890410957,17532.348,Medio,39065.51538978572,342213.91481452296,Medio,Alto
Zamora Chinchipe,2019,970,18.125945205479457,2.7607945205479454,694.99,2.2987825342465755,20137.335,Alto,65628.02110851814,574901.4649106188,Alto,Bajo
Zamora Chinchipe,2020,970,18.342595628415303,2.437622950819672,592.41,2.400234289617486,21083.658,Alto,35722.313652355806,313784.8031222934,Medio,Bajo
Zamora Chinchipe,2021,970,17.71539726027397,2.367616438356164,855.7,2.332975684931507,20436.867,Alto,38987.03610438046,341526.4362743728,Medio,Bajo
Zamora Chinchipe,2022,970,17.60904109589041,2.398931506849315,685.08,2.3613818493150687,20685.705,Alto,35993.33097848326,315301.5793715134,Medio,Bajo
Zamora Chinchipe,2023,970,18.69468493150685,2.521835616438356,595.13,2.2857756849315067,20023.395,Alto,43495.24647879256,381018.3591542229,Medio,Bajo
